7.9,62.41,8.25,8.84,78.1456,62.02,3846.4804,6.96
8.08,65.2864,8.64,8.74,76.3876,61.72,3809.3584,9.61
9.02,81.3604,8.01,8.59,73.7881,63.12,3984.1344,10.15
8.61,74.1321,7.92,8.65,74.8225,64.88,4209.4144,11.87
8.06,64.9636,8.09,8.11,65.7721,57.28,3280.9984,8.37
8.55,73.1025,8.25,8.83,77.9689,58.13,3379.0969,9.14
9.05,81.9025,8,8.75,76.5625,58.02,3366.3204,7.63
8.76,76.7376,8.01,8.63,74.4769,63.09,3980.3481,10.4
7.72,59.5984,8.02,8.14,66.2596,64.36,4142.2096,9.69
8,64,8.15,7.98,63.6804,66.82,4464.9124,8.84
8.72,76.0384,7.94,8.68,75.3424,58.2,3387.24,9.82
8.83,77.9689,7.95,8.73,76.2129,54.51,2971.3401,6.67
8.26,68.2276,8.08,8.12,65.9344,65.01,4226.3001,8.46
9.24,85.3776,7.92,8.37,70.0569,59.84,3580.8256,6.27
4.61,21.2521,7.69,8.69,75.5161,52.16,2720.6656,4.12
7.93,62.8849,6.327354839,8.79,77.2641,51.59,2661.5281,10.31
6.48,41.9904,7.85,8.59,73.7881,46.46,2158.5316,3.85
9.01,81.1801,7.89,8.72,76.0384,55.81,3114.7561,8.19
7.86,61.7796,8.44,8.85,78.3225,51.42,2644.0164,5.16
6.72,45.1584,7.81,8.63,74.4769,51.48,2650.1904,5.32
8.06,64.9636,8.33,8.69,75.5161,55.99,3134.8801,3.55
8.23,67.7329,8.36,8.82,77.7924,45.33,2054.8089,3.5
8.51,72.4201,8.23,8.73,76.2129,42.11,1773.2521,3.27
3.97,15.7609,7.72,7.86,61.7796,46.8,2190.24,4.63
7.63,58.2169,8.38,8.74,76.3876,52.42,2747.8564,3.74
8.03,64.4809,8.38,8,64,48,2304,4.79
8.99,80.8201,8.08,8.79,77.2641,59.32,3518.8624,5.64
8.84,78.1456,7.95,8.78,77.0884,58.25,3393.0625,8.07
8.47,71.7409,8.16,8.8,77.44,58.65,3439.8225,5.33
8.05,64.8025,8.22,7.89,62.2521,63.78,4067.8884,3.87
3.92,15.3664,7.69,8.22,67.5684,44.28,1960.7184,5.5
9.3,86.49,6.327354839,8.46,71.5716,42.28,1787.5984,10.03
8.61,74.1321,7.89,8.74,76.3876,47.52,2258.1504,4.14
4.69,21.9961,7.5,8.32,69.2224,47.84,2288.6656,3.2
8.13,66.0969,8.22,8.17,66.7489,46.14,2128.8996,7.02
7.99,63.8401,8.01,8.12,65.9344,67.52,4558.9504,10.17
8.18,66.9124,8.15,7.9,62.41,46.72,2182.7584,4.3
7.84,61.4656,8.86,8.76,76.7376,51.98,2701.9204,6
8.24,67.8976,9.1,8.58,73.6164,52.74,2781.5076,4.43
4.21,17.7241,8.35,8.69,75.5161,42.04,1767.3616,3.75
8.54,72.9316,8.62,8.72,76.0384,46.79,2189.3041,3.5
7.79,60.6841,9.11,8.73,76.2129,47.11,2219.3521,4.89
7.49,56.1001,8.92,8.73,76.2129,36.92,1363.0864,6.63
4.82,23.2324,8.08,8.37,70.0569,54.35,2953.9225,4.06
4.38,19.1844,8.37,8.66,74.9956,50.37,2537.1369,4.93
6.095587229,37.15618367,9.37,8.6,73.96,46.57,2168.7649,5.49
4,16,7.8,8.15,66.4225,53.98,2913.8404,5.95
3.86,14.8996,7.73,7.88,62.0944,42.99,1848.1401,4.07
3.99,15.9201,8.29,8.55,73.1025,55.07,3032.7049,4.24
7.84,61.4656,8.4,8.74,76.3876,50.46,2546.2116,6.2
10.7,114.49,9.24,8.73,76.2129,64.96,4219.8016,7.39
4.76,22.6576,8.06,8.14,66.2596,52.99,2807.9401,4.04
4.22,17.8084,8.43,8.59,73.7881,51.4,2641.96,4
5.95,35.4025,7.89,8.87,78.6769,57.16,3267.2656,3.5
10.59,112.1481,9.01,8.75,76.5625,59.8,3576.04,6.32
10.07,101.4049,8.96,8.74,76.3876,48.74,2375.5876,2.29
4.71,22.1841,8.04,8.49,72.0801,36.44,1327.8736,3.91
6.18,38.1924,7.21,8.42,70.8964,54.25,2943.0625,4.27
3.98,15.8404,7.08,8.39,70.3921,57.03,3252.4209,9.33
5.49,30.1401,7.14,8.33,69.3889,37.94,1439.4436,3.5
7.09,50.2681,8.83,8.7,75.69,63.15,3987.9225,8.8
7.94,63.0436,8.47,8.81,77.6161,57.12,3262.6944,7.38
7.06,49.8436,8.23,8.82,77.7924,45.39,2060.2521,5.34
8.19,67.0761,8.88,8.72,76.0384,47.53,2259.1009,6.99
6.9,47.61,8.97,8.73,76.2129,34.84,1213.8256,6.68
6.49,42.1201,8.29,8.75,76.5625,45.97,2113.2409,4.83
7.15,51.1225,8.87,8.69,75.5161,50.62,2562.3844,9.29
7.57,57.3049,8.87,7.91,62.5681,40.13,1610.4169,6.12
7.68,58.9824,8.91,8.01,64.1601,44.29,1961.6041,2.29
6.46,41.7316,7.27,8.41,70.7281,47.79,2283.8841,3.9
8.36,69.8896,9.21,8.59,73.7881,56.67,3211.4889,5.56
8.38,70.2244,9.21,8.58,73.6164,51.54,2656.3716,7.46
6.98,48.7204,8.96,8.69,75.5161,73.7,5431.69,9.41
6.74,45.4276,8.57,8.74,76.3876,40.36,1628.9296,7.09
8.66,74.9956,9.25,8.6,73.96,56.7,3214.89,6.51
9.66,93.3156,9.34,8.66,74.9956,35.17,1236.9289,7.96
7.29,53.1441,6.327354839,8.76,76.7376,56.36,3176.4496,10.7
8.55,73.1025,9.2,8.59,73.7881,39.36,1549.2096,7.57
7.79,60.6841,9.07,8.73,76.2129,40.85,1668.7225,5.88
6.97,48.5809,9.29,8.59,73.7881,54.97,3021.7009,9.66
6.05,36.6025,8.08,8.81,77.6161,55.64,3095.8096,3.21
8.27,68.3929,9.25,8.6,73.96,39.93,1594.4049,5.51
8.98,80.6404,8.8,8.76,76.7376,55.36,3064.7296,4.94
7.24,52.4176,6.327354839,8.71,75.8641,45.91,2107.7281,10
9.5,90.25,6.48,7.34,53.8756,64.83,4202.9289,7.3
3.83,14.6689,7.34,8.64,74.6496,27.63,763.4169,3.09
6.14,37.6996,7.97,7.79,60.6841,58.09,3374.4481,7.34
6.53,42.6409,8.33,8.57,73.4449,61.3,3757.69,5.98
6.73,45.2929,8.39,8.46,71.5716,58.58,3431.6164,6.84
5.13,26.3169,7.31,8.47,71.7409,55.03,3028.3009,4.11
6.69,44.7561,8.17,8.4,70.56,55.97,3132.6409,4.46
