1528,3.39,11.49,3.93,3.39,11.49,56.20,3158.44,3.39
1529,4.49,20.16,4.49,3.78,14.29,41.50,1722.25,4.49
1531,3.25,10.56,3.76,3.75,14.04,53.25,2835.56,3.21
1532,4.48,20.07,3.39,3.93,15.43,45.45,2065.70,4.48
1533,3.31,10.97,3.76,3.93,15.48,55.40,3069.16,3.87
1535,3.17,10.07,3.81,3.72,13.83,52.50,2756.25,3.28
1536,3.72,13.84,3.92,3.80,14.42,56.80,3226.24,3.72
1540,4.31,18.55,3.22,3.77,14.22,51.35,2636.82,3.22
1541,5.67,32.19,7.03,8.50,72.17,57.90,3352.41,7.03
1543,4.61,21.28,3.93,4.46,19.89,46.00,2116.00,4.46
1544,2.36,5.57,2.36,2.36,5.57,50.25,2525.06,2.36
1547,3.14,9.86,3.14,3.86,14.88,52.55,2761.50,3.14
1550,2.80,7.84,2.79,3.73,13.91,41.50,1722.25,2.80
1551,4.15,17.22,4.15,4.15,17.22,51.70,2672.89,4.15
1552,2.44,5.95,4.02,4.10,16.83,44.35,1966.92,2.44
1555,4.00,16.00,3.65,3.92,15.36,44.65,1993.62,4.00
1556,3.41,11.63,4.16,4.32,18.65,54.20,2937.64,3.41
1564,2.98,8.88,2.98,3.76,14.13,52.85,2793.12,2.98
1567,3.69,13.62,3.29,3.83,14.63,50.70,2570.49,3.69
1569,2.89,8.35,3.27,2.89,8.35,55.30,3058.09,2.89
1570,2.60,6.76,2.60,3.86,14.92,45.20,2043.04,2.60
1571,3.91,15.29,3.91,3.91,15.29,52.95,2803.70,3.91
1575,3.20,10.25,4.91,3.40,11.56,45.10,2034.01,3.40
1577,4.21,17.72,4.21,4.21,17.72,48.15,2318.42,4.21
1579,4.11,16.89,4.61,4.11,16.89,50.85,2585.72,4.11
1581,3.44,11.85,2.47,4.44,19.75,47.25,2232.56,2.47
1584,4.28,18.32,4.19,4.10,16.85,41.50,1722.25,4.28
1585,3.04,9.25,4.37,3.80,14.44,42.75,1827.56,3.80
1588,3.35,11.22,3.35,3.35,11.22,49.45,2445.30,3.35
1590,3.72,13.85,3.73,3.50,12.25,45.75,2093.06,3.50
1591,3.71,13.73,2.30,2.30,5.29,53.20,2830.24,2.30
1598,3.44,11.85,4.03,4.18,17.47,41.50,1722.25,4.18
1613,2.82,7.95,2.82,2.82,7.95,43.65,1905.32,2.82
1637,2.49,6.20,2.49,3.35,11.20,51.35,2636.82,2.49
1644,3.76,14.14,5.18,4.72,22.32,42.00,1764.00,5.29
1646,6.40,41.01,7.15,6.40,40.97,46.55,2166.90,8.37
1647,5.03,25.29,5.59,5.29,27.98,49.70,2470.09,6.00
1649,3.89,15.13,3.89,4.94,24.36,52.70,2777.29,3.89
1651,5.53,30.62,8.51,8.51,72.42,61.95,3837.80,8.51
1667,11.22,125.89,6.09,11.22,125.89,56.65,3209.22,11.22
1670,11.50,132.25,11.50,11.50,132.25,55.45,3074.70,11.50
1672,5.85,34.18,7.14,7.14,50.98,41.50,1722.25,7.14
1674,14.41,207.65,14.41,14.41,207.65,54.20,2937.64,14.41
1675,3.41,11.63,4.27,3.41,11.63,45.70,2088.49,3.41
1680,10.42,108.52,10.95,6.82,46.46,53.30,2840.89,10.95
1682,6.12,37.49,6.33,9.00,81.00,60.75,3690.56,9.00
1686,2.18,4.75,2.18,2.18,4.75,41.50,1722.25,2.18
1770,6.01,36.07,6.61,9.81,96.24,61.50,3782.25,9.81
1771,6.38,40.69,6.63,6.59,43.44,64.55,4166.70,9.38
1829,5.25,27.56,5.50,5.25,27.56,50.85,2585.72,5.25
1840,5.07,25.70,4.20,5.88,34.53,53.25,2835.56,5.49
1841,3.45,11.91,4.21,3.61,13.03,48.65,2366.82,3.61
1858,2.59,6.71,3.26,3.00,9.01,52.55,2761.50,2.59
1867,9.60,92.15,8.50,8.50,72.25,58.15,3381.42,8.50
1868,5.25,27.57,5.31,4.88,23.81,52.65,2772.02,4.88
1869,5.25,27.57,6.26,6.26,39.19,53.65,2878.32,6.26
1879,7.04,49.56,10.58,7.04,49.56,56.00,3136.00,7.04
1896,6.58,43.30,5.26,6.26,39.18,55.60,3091.36,6.58
1901,8.65,74.91,4.42,4.42,19.54,45.70,2088.49,4.42
1904,3.50,12.25,3.50,3.50,12.25,43.60,1900.96,3.50
1909,4.70,22.09,4.70,4.46,19.91,52.65,2772.02,4.70
1910,5.03,25.30,4.53,5.03,25.30,47.15,2223.12,5.03
1912,12.66,160.28,10.81,12.66,160.28,65.55,4296.80,12.66
1919,3.61,13.05,3.30,3.85,14.85,45.80,2097.64,3.30
1920,3.24,10.50,3.24,3.24,10.50,53.55,2867.60,3.24
1923,4.38,19.18,4.38,6.32,39.98,51.45,2647.10,4.38
1929,3.50,12.25,2.98,3.03,9.19,57.65,3323.52,3.50
1930,6.50,42.20,9.49,7.05,49.70,53.85,2899.82,7.05
1933,3.30,10.89,3.48,3.48,12.11,46.95,2204.30,3.48
1936,7.91,62.57,7.91,7.91,62.57,51.25,2626.56,7.91
1937,4.65,21.65,3.71,3.71,13.76,48.15,2318.42,3.71
1940,7.82,61.15,7.82,8.96,80.21,53.15,2824.92,7.82
1984,6.13,37.63,10.54,8.85,78.35,60.80,3696.64,10.54
1985,3.12,9.72,3.88,3.73,13.93,48.55,2357.10,3.26
1986,6.77,45.83,6.29,8.81,77.67,51.10,2611.21,6.77
1988,3.23,10.43,3.23,5.28,27.89,50.55,2555.30,3.23
1997,5.54,30.66,6.75,4.50,20.25,44.00,1936.00,4.50
1999,5.81,33.76,5.81,5.81,33.76,41.50,1722.25,5.81
2006,7.94,63.04,5.86,7.94,63.04,56.35,3175.32,7.94
2008,6.09,37.08,6.30,6.30,39.69,51.70,2672.89,6.30
2012,5.42,29.35,5.86,5.86,34.34,42.60,1814.76,5.86
2013,5.84,34.15,5.92,4.57,20.88,54.90,3014.01,4.57
2014,7.34,53.88,7.34,5.54,30.68,59.95,3594.00,7.34
2026,9.77,95.45,9.77,6.38,40.71,55.90,3124.81,9.77
2036,6.73,45.29,6.73,6.73,45.29,60.90,3708.81,6.73
2043,8.58,73.62,5.60,5.28,27.88,46.15,2129.82,4.24
2044,3.52,12.39,5.72,5.72,32.72,50.10,2510.01,5.72
2049,5.46,29.81,5.15,5.46,29.81,41.50,1722.25,5.46
2050,2.75,7.56,5.20,3.55,12.60,42.60,1814.76,3.55
2059,6.87,47.20,6.87,5.47,29.94,52.80,2787.84,6.87
2071,9.79,95.84,7.54,6.41,41.14,56.55,3197.90,9.79
2073,3.22,10.37,3.22,4.89,23.90,44.35,1966.92,3.22
2074,7.94,63.04,5.62,7.94,63.04,56.50,3192.25,7.94
2076,7.37,54.32,5.66,7.37,54.32,61.45,3776.10,7.37
2081,3.85,14.82,3.85,4.97,24.74,48.40,2342.56,3.85
2084,6.77,45.83,5.50,5.26,27.62,69.75,4865.06,6.77
2089,6.15,37.82,6.15,6.15,37.82,55.95,3130.40,6.15
2092,2.37,5.62,2.37,2.37,5.62,51.40,2641.96,2.37
2093,14.37,206.50,14.37,14.37,206.50,72.90,5314.41,14.37
2094,5.71,32.60,5.71,5.71,32.60,52.00,2704.00,5.71
2097,4.60,21.16,4.60,4.60,21.16,41.50,1722.25,4.60
2100,6.14,37.66,8.75,9.84,96.74,65.20,4251.04,8.75
2101,4.54,20.61,7.22,6.43,41.31,46.15,2129.82,4.54
2102,5.25,27.57,4.30,5.30,28.10,49.55,2455.20,4.30
2110,8.45,71.40,8.45,8.45,71.40,51.35,2636.82,8.45
2111,6.00,36.00,6.00,4.48,20.12,41.50,1722.25,6.00
2112,9.32,86.86,6.02,9.32,86.86,66.10,4369.21,9.32
2116,7.01,49.14,7.01,7.01,49.14,56.00,3136.00,7.01
2117,3.18,10.11,3.18,3.18,10.11,53.90,2905.21,3.18
2119,5.72,32.72,5.72,4.74,22.43,54.70,2992.09,5.72
2123,5.50,30.25,5.50,5.50,30.25,54.60,2981.16,5.50
2124,7.25,52.56,7.25,7.25,52.56,63.40,4019.56,7.25
2125,3.62,13.10,3.62,3.62,13.10,55.45,3074.70,3.62
2127,4.24,17.98,4.24,4.24,17.98,52.10,2714.41,4.24
2129,5.07,25.70,4.76,4.76,22.66,51.10,2611.21,4.76
2131,4.22,17.81,4.22,4.22,17.81,50.75,2575.56,4.22
2156,3.45,11.90,4.10,5.26,27.63,48.40,2342.56,3.45
2159,5.96,35.52,5.96,5.96,35.52,61.40,3769.96,5.96
2160,5.80,33.69,5.55,6.83,46.65,59.50,3540.25,6.83
2161,6.17,38.05,5.43,9.04,81.78,51.95,2698.80,5.43
2163,3.59,12.87,3.00,5.26,27.63,42.05,1768.20,3.00
2164,6.58,43.25,4.68,4.68,21.90,54.25,2943.06,4.68
2165,6.62,43.82,5.55,6.62,43.82,64.80,4199.04,6.62
2178,4.96,24.60,8.24,8.24,67.90,52.15,2719.62,8.24
2190,5.80,33.64,5.80,5.32,28.28,56.10,3147.21,5.80
2193,4.85,23.57,5.10,5.10,26.01,53.30,2840.89,5.10
2204,6.00,36.00,6.00,6.00,36.00,65.35,4270.62,6.00
2208,5.02,25.18,10.91,8.83,77.93,54.10,2926.81,5.56
2218,3.58,12.84,6.52,4.93,24.30,49.10,2410.81,4.93
2219,6.62,43.82,6.62,6.88,47.32,54.45,2964.80,6.62
2246,2.60,6.76,2.60,2.60,6.76,44.75,2002.56,2.60
2247,6.79,46.10,6.52,6.28,39.49,55.35,3063.62,6.79
2264,4.09,16.73,4.09,4.09,16.73,52.65,2772.02,4.09
2265,7.35,54.02,10.79,7.35,54.02,50.60,2560.36,7.35
2285,6.12,37.41,6.58,8.07,65.12,41.50,1722.25,8.07
2286,2.94,8.64,4.16,4.50,20.29,50.00,2500.00,2.94
2288,5.45,29.70,5.45,5.45,29.70,51.70,2672.89,5.45
2289,6.06,36.72,6.06,6.06,36.72,41.50,1722.25,6.06
2290,2.72,7.40,3.17,3.96,15.69,51.35,2636.82,2.72
2293,4.04,16.29,3.78,6.02,36.24,41.50,1722.25,6.02
2294,6.70,44.89,4.30,6.70,44.89,45.55,2074.80,6.70
2301,4.38,19.18,4.30,4.38,19.18,53.15,2824.92,4.38
2308,5.79,33.52,4.30,5.79,33.52,51.60,2662.56,5.79
2322,7.34,53.88,7.17,6.56,43.02,60.40,3648.16,7.34
2323,10.73,115.13,10.73,10.73,115.13,68.35,4671.72,10.73
2324,5.11,26.11,8.27,8.27,68.39,58.70,3445.69,8.27
2325,8.48,71.91,6.93,8.48,71.91,51.60,2662.56,8.48
2326,4.91,24.11,4.91,4.91,24.11,51.00,2601.00,4.91
2344,3.50,12.25,3.50,3.50,12.25,41.10,1689.21,3.50
2358,5.88,34.63,4.64,6.17,38.06,47.15,2223.12,4.64
2359,4.53,20.52,4.53,6.25,39.12,50.60,2560.36,4.53
2370,6.37,40.58,4.24,6.37,40.58,56.45,3186.60,6.37
2371,10.58,111.94,6.95,10.58,111.94,40.60,1648.36,10.58
2434,12.21,149.08,12.21,12.21,149.08,67.15,4509.12,12.21
2436,6.63,43.96,5.88,6.63,43.96,49.65,2465.12,6.63
2440,6.12,37.45,6.12,5.67,32.12,52.60,2766.76,6.12
2441,4.73,22.37,4.88,4.46,19.87,51.35,2636.82,4.88
2445,9.84,96.83,9.84,9.84,96.83,67.30,4529.29,9.84
2453,5.48,30.00,5.31,6.58,43.33,53.00,2809.00,5.31
2461,3.80,14.43,5.02,4.13,17.06,48.30,2332.89,4.13
2464,3.04,9.25,7.66,7.66,58.68,58.20,3387.24,7.66
2474,5.12,26.20,6.13,5.28,27.89,52.25,2730.06,6.13
2477,8.30,68.89,8.30,8.30,68.89,57.10,3260.41,8.30
2481,2.70,7.29,2.85,3.52,12.36,50.30,2530.09,2.70
2485,3.11,9.67,3.11,3.11,9.67,43.00,1849.00,3.11
2486,4.38,19.18,4.38,4.38,19.18,49.95,2495.00,4.38
2497,8.87,78.66,11.17,9.39,88.25,51.05,2606.10,12.00
2499,12.68,160.73,13.80,13.80,190.44,70.55,4977.30,13.80
2506,4.38,19.18,5.62,6.64,44.07,46.15,2129.82,4.38
2508,2.28,5.19,1.99,1.99,3.96,41.50,1722.25,1.99
2510,1.69,2.87,2.20,2.28,5.22,51.85,2688.42,1.56
2518,3.61,13.03,3.61,5.03,25.34,54.25,2943.06,3.61
2520,4.14,17.15,4.00,5.02,25.18,53.55,2867.60,4.00
2521,5.16,26.63,4.37,4.19,17.53,50.50,2550.25,5.16
2523,4.55,20.72,4.51,4.46,19.90,60.15,3618.02,5.50
2531,9.51,90.53,6.41,9.41,88.54,52.45,2751.00,6.41
2537,5.08,25.81,5.08,4.86,23.67,54.85,3008.52,5.08
2539,3.70,13.68,4.99,4.05,16.40,46.15,2129.82,4.05
2542,10.07,101.49,11.13,9.20,84.71,56.10,3147.21,8.09
2560,4.09,16.73,4.09,4.09,16.73,42.05,1768.20,4.09
2565,5.01,25.10,5.01,5.01,25.10,44.65,1993.62,5.01
2568,4.57,20.84,5.50,5.50,30.25,41.35,1709.82,5.50
2571,4.28,18.32,4.28,4.28,18.32,48.15,2318.42,4.28
2574,5.98,35.76,5.67,6.09,37.13,41.50,1722.25,5.67
2582,5.80,33.64,5.80,5.80,33.64,41.50,1722.25,5.80
2586,1.97,3.87,3.77,1.79,3.20,41.50,1722.25,3.77
2592,4.94,24.39,4.24,4.31,18.54,42.95,1844.70,3.00
2611,5.67,32.15,7.09,6.38,40.71,55.50,3080.25,5.67
2617,4.70,22.07,6.86,6.24,38.97,41.50,1722.25,4.79
2619,4.70,22.07,5.50,5.27,27.74,47.40,2246.76,5.00
2621,4.63,21.48,5.07,5.07,25.70,60.80,3696.64,5.07
2630,1.49,2.22,1.65,1.79,3.20,57.05,3254.70,1.49
2632,5.26,27.71,3.50,3.50,12.25,41.30,1705.69,3.50
2633,6.41,41.09,6.41,6.41,41.09,62.95,3962.70,6.41
2636,5.87,34.41,5.85,6.19,38.32,48.45,2347.40,3.35
2653,4.12,16.95,3.57,4.28,18.31,53.15,2824.92,4.24
2656,3.15,9.93,3.27,3.23,10.43,50.90,2590.81,3.23
2661,3.14,9.86,3.78,3.14,9.86,53.75,2889.06,3.14
2665,6.83,46.65,6.83,6.83,46.65,55.70,3102.49,6.83
2673,2.92,8.53,2.92,2.19,4.78,50.45,2545.20,2.92
2684,8.16,66.59,8.16,7.88,62.17,41.50,1722.25,8.16
2773,5.82,33.87,5.93,6.24,38.98,53.00,2809.00,5.82
2774,4.70,22.11,5.89,6.32,39.93,45.45,2065.70,6.52
2775,4.70,22.11,5.22,5.07,25.70,55.30,3058.09,5.07
2776,4.76,22.66,4.76,4.76,22.66,54.75,2997.56,4.76
